Display Name,Organization,Entity Type,Stance,Comment Letter
National Association of Clean Water Agencies,National Association of Clean Water Agencies,trade_association,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: National Association of Clean Water Agencies
Organization: National Association of Clean Water Agencies
Subject: Formal Comment on Proposed Rulemaking

The National Association of Clean Water Agencies represents a broad spectrum of interests in publicly owned wastewater treatment advocacy, biosolids management policy. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, implementation_timeline, infrastructure_needs. Specifically, our ability to comply is affected by municipal budget limitations, ratepayer affordability concerns, aging infrastructure rehabilitation needs. Success in this rulemaking requires a pragmatic approach. We suggest the agency supporting clean water goals while requesting adequate federal funding, extended compliance schedules for POTWs, and affordability considerations. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

National Association of Clean Water Agencies"
"Maria Santos, Farmworker Advocate",N/A,individual,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Maria Santos, Farmworker Advocate
Subject: Formal Comment on Proposed Rulemaking

As a former farmworker in California's Central Valley living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for environmental_justice, worker_safety, public_health. Specifically, our ability to comply is affected by limited English proficiency, fear of retaliation in agricultural community, lack of health insurance for ongoing treatment. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency draft a personal comment describing pesticide exposure experience, supporting buffer zones and application restrictions, and urging protections for farmworker families..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Maria Santos, Farmworker Advocate"
Air & Waste Management Association,Air & Waste Management Association,professional,Neutral,"May 10, 2026

To: The Environmental Protection Agency
From: Air & Waste Management Association
Organization: Air & Waste Management Association
Subject: Formal Comment on Proposed Rulemaking

As a environmental professional development and certification living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for scientific_integrity, implementation_timeline, regulatory_alignment. Specifically, our ability to comply is affected by nonpartisan technical organization positioning, member diversity across industry and government, scientific objectivity requirements. Success in this rulemaking requires a pragmatic approach. We suggest the agency draft a technically neutral comment evaluating the scientific basis and feasibility of proposed standards, recommending monitoring methodology improvements. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Air & Waste Management Association"
Valero Energy Corporation,Valero Energy Corporation,large_corporation,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Valero Energy Corporation
Organization: Valero Energy Corporation
Subject: Formal Comment on Proposed Rulemaking

Valero Energy Corporation, a global leader in petroleum refining at 15 U.S. refineries, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, energy_reliability. Specifically, our ability to comply is affected by refinery-specific technical limitations, renewable fuel investment commitments, turnaround scheduling constraints. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing refinery emission standards that don't account for facility-specific constraints, requesting site-specific compliance alternatives..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Valero Energy Corporation"
Alaska Department of Environmental Conservation,Alaska Department of Environmental Conservation,government_agency,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Alaska Department of Environmental Conservation
Organization: Alaska Department of Environmental Conservation
Subject: Formal Comment on Proposed Rulemaking

The Alaska Department of Environmental Conservation submits these comments to ensure federal standards are harmonized with state-level expertise and existing frameworks in remote community environmental protection, oil spill prevention and response.

Our analysis of the proposal highlights significant implications for regulatory_alignment, implementation_timeline, state_authority. Specifically, our ability to comply is affected by extreme climate and remote logistics, Alaska Native subsistence rights considerations, limited monitoring infrastructure. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting Alaska-specific exemptions for remote operations, recognition of extreme climate constraints, and subsistence resource protection. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Alaska Department of Environmental Conservation"
National Black Environmental Justice Network,National Black Environmental Justice Network,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: National Black Environmental Justice Network
Organization: National Black Environmental Justice Network
Subject: Formal Comment on Proposed Rulemaking

On behalf of National Black Environmental Justice Network and our mission to support Black community environmental justice advocacy, cumulative impact policy development, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for environmental_justice, public_health, community_impact. Specifically, our ability to comply is affected by community-driven research priorities, intersectional justice framework requirements, nonprofit capacity limitations. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency demanding race-conscious environmental protections, cumulative impact assessment, and meaningful community participation in rulemaking..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

National Black Environmental Justice Network"
Anderson Machine Shop,Anderson Machine Shop,small_business,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Anderson Machine Shop
Organization: Anderson Machine Shop
Subject: Formal Comment on Proposed Rulemaking

As the owner of Anderson Machine Shop, a small business employing 20 people, I am deeply concerned about the practicalities of the proposed requirements.

Our analysis of the proposal highlights significant implications for compliance_cost, small_business_viability, operational_burden. Specifically, our ability to comply is affected by 20 employees in single facility, ITAR compliance requirements limit outsourcing, specialized equipment with long replacement cycles. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting small manufacturer exemptions, simplified reporting for machine shops, and recognition of defense supply chain constraints. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Anderson Machine Shop"
"Dr. Sacoby Wilson, Environmental Health Scientist",University of Maryland School of Public Health,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Sacoby Wilson, Environmental Health Scientist
Organization: University of Maryland School of Public Health
Subject: Formal Comment on Proposed Rulemaking

As a researcher at University of Maryland School of Public Health specializing in environmental justice and exposure science, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for environmental_justice, public_health, scientific_integrity. Specifically, our ability to comply is affected by community partnership accountability, participatory research methodology standards, federal advisory committee obligations. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency recommending cumulative impact assessment methodology, community-based monitoring integration, and environmental justice screening improvements..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Sacoby Wilson, Environmental Health Scientist"
Southern Company,Southern Company,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Southern Company
Organization: Southern Company
Subject: Formal Comment on Proposed Rulemaking

Southern Company, a global leader in electric utility serving 9 million customers in Southeast, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, energy_reliability, implementation_timeline. Specifically, our ability to comply is affected by coal plant retirement scheduling, nuclear construction cost overruns at Plant Vogtle, Southeast grid reliability during extreme heat. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting compliance timelines aligned with planned generation transitions, grid reliability safeguards, and recognition of regional energy needs. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Southern Company"
Center for Biological Diversity,Center for Biological Diversity,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Center for Biological Diversity
Organization: Center for Biological Diversity
Subject: Formal Comment on Proposed Rulemaking

On behalf of Center for Biological Diversity and our mission to support endangered species and habitat protection litigation, climate change and biodiversity advocacy, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for environmental_protection, climate_action, biodiversity. Specifically, our ability to comply is affected by Endangered Species Act legal framework, biodiversity science standards, litigation resource allocation. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency connecting air and water pollution to species decline, supporting the strongest possible protections, and citing ESA obligations..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Center for Biological Diversity"
American Institute of Chemical Engineers,American Institute of Chemical Engineers,professional,Neutral,"May 10, 2026

To: The Environmental Protection Agency
From: American Institute of Chemical Engineers
Organization: American Institute of Chemical Engineers
Subject: Formal Comment on Proposed Rulemaking

As a chemical engineering professional standards living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for scientific_integrity, implementation_timeline, worker_safety. Specifically, our ability to comply is affected by professional ethics code requirements, technical objectivity standards, diverse membership across industry sectors. Success in this rulemaking requires a pragmatic approach. We suggest the agency draft a technically objective comment evaluating engineering feasibility of proposed controls, process safety implications, and recommending best available technology standards. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

American Institute of Chemical Engineers"
Waste Management Inc.,Waste Management Inc.,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Waste Management Inc.
Organization: Waste Management Inc.
Subject: Formal Comment on Proposed Rulemaking

Waste Management Inc., a global leader in solid waste collection and landfill operations, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, implementation_timeline. Specifically, our ability to comply is affected by landfill gas variability and capture limitations, municipal contract obligations, post-closure monitoring requirements. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting recognition of landfill gas collection challenges, credit for renewable energy generation, and flexible monitoring requirements. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Waste Management Inc."
New Mexico Environment Department,New Mexico Environment Department,government_agency,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: New Mexico Environment Department
Organization: New Mexico Environment Department
Subject: Formal Comment on Proposed Rulemaking

The New Mexico Environment Department submits these comments to ensure federal standards are harmonized with state-level expertise and existing frameworks in state air quality regulation in oil and gas basin, Permian Basin methane monitoring.

Our analysis of the proposal highlights significant implications for regulatory_alignment, public_health, environmental_protection. Specifically, our ability to comply is affected by oil and gas revenue dependence, Permian Basin rapid development pace, tribal consultation requirements. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting federal methane standards consistent with New Mexico's rules, requesting monitoring assistance for the Permian Basin..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

New Mexico Environment Department"
"Patricia Brown, Retired Nurse",N/A,individual,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Patricia Brown, Retired Nurse
Subject: Formal Comment on Proposed Rulemaking

As a 40-year nursing career in respiratory care living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for public_health, environmental_justice, quality_of_life. Specifically, our ability to comply is affected by personal observations of pollution-related illness patterns, retirement income limitations, health concerns from coal ash exposure. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency draft a personal comment drawing on nursing experience with respiratory patients, describing coal ash pond concerns, and supporting protective cleanup standards..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Patricia Brown, Retired Nurse"
National Association of Home Builders,National Association of Home Builders,trade_association,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: National Association of Home Builders
Organization: National Association of Home Builders
Subject: Formal Comment on Proposed Rulemaking

The National Association of Home Builders represents a broad spectrum of interests in residential construction industry advocacy, stormwater and land disturbance permit compliance. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, implementation_timeline. Specifically, our ability to comply is affected by housing affordability crisis impact, small builder membership majority, construction timeline sensitivity. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing new construction site emission requirements, citing housing affordability impacts and requesting small builder exemptions..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

National Association of Home Builders"
"Dr. Jonathan Levy, Exposure Assessment Expert",Boston University School of Public Health,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Jonathan Levy, Exposure Assessment Expert
Organization: Boston University School of Public Health
Subject: Formal Comment on Proposed Rulemaking

As a researcher at Boston University School of Public Health specializing in quantitative health risk assessment, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for public_health, scientific_integrity, environmental_protection. Specifically, our ability to comply is affected by risk assessment methodology standards, uncertainty characterization requirements, EPA Science Advisory Board participation. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency evaluating the agency's risk assessment methodology, recommending improvements in exposure modeling, and supporting protective standards..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Jonathan Levy, Exposure Assessment Expert"
Nucor Corporation,Nucor Corporation,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Nucor Corporation
Organization: Nucor Corporation
Subject: Formal Comment on Proposed Rulemaking

Nucor Corporation, a global leader in electric arc furnace steelmaking, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, economic_impact. Specifically, our ability to comply is affected by EAF technology already lower-emission than blast furnace, scrap metal quality variability, electricity cost sensitivity. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting recognition of electric arc furnace environmental advantages over blast furnace, differentiated standards, and credit for recycled content. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Nucor Corporation"
Waterkeeper Alliance,Waterkeeper Alliance,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Waterkeeper Alliance
Organization: Waterkeeper Alliance
Subject: Formal Comment on Proposed Rulemaking

On behalf of Waterkeeper Alliance and our mission to support watershed protection through 300+ local Waterkeeper organizations, Clean Water Act enforcement advocacy, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for environmental_protection, public_health, community_impact. Specifically, our ability to comply is affected by decentralized affiliate structure, local water body specific expertise, citizen suit standing requirements. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting stronger discharge standards, citing watershed monitoring data, and requesting enhanced citizen enforcement provisions..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Waterkeeper Alliance"
Kwik Print & Graphics,Kwik Print & Graphics,small_business,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Kwik Print & Graphics
Organization: Kwik Print & Graphics
Subject: Formal Comment on Proposed Rulemaking

As the owner of Kwik Print & Graphics, a small business employing 10 people, I am deeply concerned about the practicalities of the proposed requirements.

Our analysis of the proposal highlights significant implications for compliance_cost, small_business_viability, implementation_timeline. Specifically, our ability to comply is affected by 10 employees with no EHS staff, ink reformulation dependent on supplier availability, customer color matching requirements. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting extended timelines for ink reformulation, small printer exemptions, and VOC content standards aligned with available technology. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Kwik Print & Graphics"
American Public Health Association,American Public Health Association,professional,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: American Public Health Association
Organization: American Public Health Association
Subject: Formal Comment on Proposed Rulemaking

As a public health policy advocacy and research living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for public_health, environmental_justice, scientific_integrity. Specifically, our ability to comply is affected by evidence-based policy recommendation standards, multidisciplinary membership perspectives, health equity framework requirements. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency from a public health professional perspective supporting the strongest protective standards, citing health burden evidence and equity considerations..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

American Public Health Association"
Marathon Petroleum Corporation,Marathon Petroleum Corporation,large_corporation,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Marathon Petroleum Corporation
Organization: Marathon Petroleum Corporation
Subject: Formal Comment on Proposed Rulemaking

Marathon Petroleum Corporation, a global leader in petroleum refining at 13 U.S. refineries, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, energy_reliability. Specifically, our ability to comply is affected by refinery turnaround scheduling (every 4-5 years), consent decree compliance obligations, fuel supply reliability obligations. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing refinery emission limits that conflict with turnaround schedules, requesting consent decree integration and fuel supply reliability provisions..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Marathon Petroleum Corporation"
Pennsylvania Department of Environmental Protection,Pennsylvania Department of Environmental Protection,government_agency,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Pennsylvania Department of Environmental Protection
Organization: Pennsylvania Department of Environmental Protection
Subject: Formal Comment on Proposed Rulemaking

The Pennsylvania Department of Environmental Protection submits these comments to ensure federal standards are harmonized with state-level expertise and existing frameworks in oil and gas well permitting and inspection, abandoned mine drainage remediation.

Our analysis of the proposal highlights significant implications for regulatory_alignment, implementation_timeline, state_authority. Specifically, our ability to comply is affected by natural gas industry economic significance, legacy mining pollution remediation costs, inspection staff limitations for well sites. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting federal resources for well site inspections, recognition of Pennsylvania's existing methane rules, and legacy pollution remediation funding. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Pennsylvania Department of Environmental Protection"
"James Hartford, Cattle Rancher",N/A,individual,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: James Hartford, Cattle Rancher
Subject: Formal Comment on Proposed Rulemaking

As a 500-head cattle operation in Montana living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, economic_impact. Specifically, our ability to comply is affected by narrow profit margins in cattle ranching, drought and climate vulnerability, limited broadband for electronic reporting. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead draft a personal comment opposing methane reporting requirements for ranchers, describing operational hardships, and requesting agricultural exemptions..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

James Hartford, Cattle Rancher"
National Society of Professional Engineers,National Society of Professional Engineers,professional,Neutral,"May 10, 2026

To: The Environmental Protection Agency
From: National Society of Professional Engineers
Organization: National Society of Professional Engineers
Subject: Formal Comment on Proposed Rulemaking

As a licensed professional engineer advocacy living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for implementation_timeline, scientific_integrity, infrastructure_needs. Specifically, our ability to comply is affected by professional engineering licensure standards, public health and safety obligations, technical objectivity requirements. Success in this rulemaking requires a pragmatic approach. We suggest the agency draft a technically grounded comment on engineering feasibility, requesting that compliance standards reference PE-certified designs and include realistic construction timelines. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

National Society of Professional Engineers"
Koch Industries,Koch Industries Inc.,large_corporation,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Koch Industries
Organization: Koch Industries Inc.
Subject: Formal Comment on Proposed Rulemaking

Koch Industries Inc., a global leader in petroleum refining through Flint Hills Resources, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, operational_burden. Specifically, our ability to comply is affected by multi-sector regulatory exposure, private company disclosure limitations, existing voluntary improvement programs. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead questioning the regulatory cost-benefit analysis, opposing prescriptive technology mandates, and advocating for performance-based standards..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Koch Industries"
Chesapeake Bay Foundation,Chesapeake Bay Foundation,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Chesapeake Bay Foundation
Organization: Chesapeake Bay Foundation
Subject: Formal Comment on Proposed Rulemaking

On behalf of Chesapeake Bay Foundation and our mission to support Chesapeake Bay restoration advocacy, agricultural runoff reduction programs, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for environmental_protection, public_health, community_impact. Specifically, our ability to comply is affected by TMDL implementation tracking obligations, multi-state coordination requirements, watershed-wide pollution reduction targets. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting nutrient and sediment reduction standards, citing Bay restoration progress, and requesting stronger upstream pollution controls..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Chesapeake Bay Foundation"
Central Valley Almond Growers,Central Valley Almond Growers,small_business,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Central Valley Almond Growers
Organization: Central Valley Almond Growers
Subject: Formal Comment on Proposed Rulemaking

As the owner of Central Valley Almond Growers, a small business employing water people, I am deeply concerned about the practicalities of the proposed requirements.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, economic_impact. Specifically, our ability to comply is affected by water scarcity and drought conditions, seasonal labor dependency, PM10 dust control during harvest. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing agricultural dust control requirements, citing technical infeasibility during harvest, and requesting agricultural operation exemptions..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Central Valley Almond Growers"
"Dr. Drew Shindell, Climate Scientist",Duke University Nicholas School of the Environment,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Drew Shindell, Climate Scientist
Organization: Duke University Nicholas School of the Environment
Subject: Formal Comment on Proposed Rulemaking

As a researcher at Duke University Nicholas School of the Environment specializing in climate and air quality interaction modeling, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for climate_action, public_health, scientific_integrity. Specifically, our ability to comply is affected by IPCC methodology standards, climate model uncertainty communication, global vs. regional modeling scale challenges. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency presenting climate co-benefit analysis of emission reductions, recommending methane and black carbon targets, and supporting integrated climate-air quality standards..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Drew Shindell, Climate Scientist"
Illinois EPA,Illinois Environmental Protection Agency,government_agency,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Illinois EPA
Organization: Illinois Environmental Protection Agency
Subject: Formal Comment on Proposed Rulemaking

The Illinois Environmental Protection Agency submits these comments to ensure federal standards are harmonized with state-level expertise and existing frameworks in state environmental permitting for industrial Midwest, ethylene oxide facility regulation.

Our analysis of the proposal highlights significant implications for regulatory_alignment, public_health, implementation_timeline. Specifically, our ability to comply is affected by EtO facility community concerns, state budget and staffing limitations, federal-state delegation agreement requirements. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting clear federal EtO emission standards, technical and financial assistance for state implementation, and community monitoring guidance. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Illinois EPA"
Cargill Incorporated,Cargill Incorporated,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Cargill Incorporated
Organization: Cargill Incorporated
Subject: Formal Comment on Proposed Rulemaking

Cargill Incorporated, a global leader in agricultural commodity trading and processing, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, economic_impact. Specifically, our ability to comply is affected by global agricultural supply chain integration, food safety regulation compliance, farmer relationship and supply coordination. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting food processing exemptions, seasonal operational flexibility, and coordination between EPA requirements and USDA food safety obligations. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Cargill Incorporated"
Hip Hop Caucus,Hip Hop Caucus,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Hip Hop Caucus
Organization: Hip Hop Caucus
Subject: Formal Comment on Proposed Rulemaking

On behalf of Hip Hop Caucus and our mission to support youth and BIPOC community civic engagement, environmental and climate justice campaigns, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for environmental_justice, public_health, community_impact. Specifically, our ability to comply is affected by youth engagement and accessibility requirements, intersectional justice framing, community trust-building obligations. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency centering youth and BIPOC community voices, demanding environmental justice protections, and urging meaningful community participation in EPA rulemaking..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Hip Hop Caucus"
"Dr. Frederica Perera, Children's Environmental Health Researcher",Columbia Center for Children's Environmental Health,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Frederica Perera, Children's Environmental Health Researcher
Organization: Columbia Center for Children's Environmental Health
Subject: Formal Comment on Proposed Rulemaking

As a researcher at Columbia Center for Children's Environmental Health specializing in prenatal environmental exposure research, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for public_health, scientific_integrity, environmental_justice. Specifically, our ability to comply is affected by long-term cohort study commitments, NIH and EPA research grant requirements, IRB protections for child study participants. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency presenting evidence on prenatal and childhood pollution exposure impacts, supporting standards protective of the most vulnerable, and recommending developmental endpoints in risk assessment..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Frederica Perera, Children's Environmental Health Researcher"
