display_name,organization,stance,comment_letter
Florida Department of Agriculture and Consumer Services,Florida Department of Agriculture and Consumer Services,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Florida Department of Agriculture and Consumer Services appreciates the opportunity to provide these formal comments. As an entity engaged in state food safety inspection and enforcement, citrus industry regulation and support, dietary supplement and CBD product oversight, our perspective is deeply informed by our operational environment, which includes citrus greening disease food safety implications, tourism and hospitality food service demands, CBD and hemp product regulatory uncertainty.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting clear federal CBD food additive guidance, adequate state implementation funding, and recognition of Florida's food safety inspection program.

The proposed changes will directly impact our operations in the following areas: regulatory_alignment, state_authority, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect regulatory alignment, state authority, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Florida Department of Agriculture and Consumer Services
Florida Department of Agriculture and Consumer Services"
"Jennifer Chang, Chronic Pain Patient",,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Jennifer Chang, Chronic Pain Patient appreciates the opportunity to provide these formal comments. As an entity engaged in chronic pain patient managing fibromyalgia, navigating opioid prescribing restriction impacts, non-opioid pain management treatment seeker, our perspective is deeply informed by our operational environment, which includes restricted access to effective pain management, stigma associated with chronic pain treatment, limited non-opioid treatment options.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a personal comment describing the impact of opioid prescribing restrictions on legitimate pain patients, supporting non-opioid analgesic development, and urging balanced pain management policy.

The proposed changes will directly impact our operations in the following areas: patient_access, patient_safety, quality_of_life. We urge the Agency to consider these factors, particularly how they affect patient access, patient safety, quality of life, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Jennifer Chang, Chronic Pain Patient
Jennifer Chang, Chronic Pain Patient"
National Confectioners Association,National Confectioners Association,opposed,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

National Confectioners Association appreciates the opportunity to provide these formal comments. As an entity engaged in confectionery and snack industry advocacy, ingredient safety and labeling policy, portion size and responsible marketing programs, our perspective is deeply informed by our operational environment, which includes front-of-package labeling impacts on treat category, added sugar disclosure requirements, reformulation technical limitations for taste and texture.

We write today to oppose the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing punitive front-of-package warning labels, supporting voluntary portion size initiatives, and requesting evidence review before ingredient bans.

The proposed changes will directly impact our operations in the following areas: compliance_cost, economic_impact, consumer_protection. We urge the Agency to consider these factors, particularly how they affect compliance cost, economic impact, consumer protection, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

National Confectioners Association
National Confectioners Association"
"Dr. Vinay Prasad, Oncology and Health Policy Researcher",University of California San Francisco,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

University of California San Francisco appreciates the opportunity to provide these formal comments. As an entity engaged in cancer drug approval standards research, accelerated approval outcomes analysis, surrogate endpoint validation studies, our perspective is deeply informed by our operational environment, which includes academic independence in FDA criticism, pharmaceutical industry research funding transparency, peer-review standards for regulatory science.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment questioning the use of surrogate endpoints for accelerated approval, requesting mandatory confirmatory trial completion timelines, and supporting higher evidentiary standards.

The proposed changes will directly impact our operations in the following areas: patient_safety, scientific_integrity, innovation_impact. We urge the Agency to consider these factors, particularly how they affect patient safety, scientific integrity, innovation impact, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Vinay Prasad, Oncology and Health Policy Researcher
University of California San Francisco"
Intuitive Surgical Inc.,Intuitive Surgical Inc.,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Intuitive Surgical Inc. appreciates the opportunity to provide these formal comments. As an entity engaged in da Vinci surgical robotics systems, robotic-assisted minimally invasive surgery platforms, surgeon training and credentialing programs, our perspective is deeply informed by our operational environment, which includes software-as-medical-device regulatory classification, AI/ML-enabled surgical planning tools, cybersecurity requirements for networked surgical systems.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting adaptive AI/ML regulatory frameworks for surgical robotics, clear software modification classification guidance, and cybersecurity standard harmonization.

The proposed changes will directly impact our operations in the following areas: innovation_impact, compliance_cost, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect innovation impact, compliance cost, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Intuitive Surgical Inc.
Intuitive Surgical Inc."
Consumers Union (Consumer Reports),Consumer Reports,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Consumer Reports appreciates the opportunity to provide these formal comments. As an entity engaged in product safety testing and consumer advocacy, food and drug labeling transparency campaigns, dietary supplement and health product evaluation, our perspective is deeply informed by our operational environment, which includes independent testing methodology standards, consumer education accessibility, nonprofit organizational resources.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting mandatory recall authority for FDA, improved food and supplement labeling, and enhanced consumer reporting mechanisms for product safety.

The proposed changes will directly impact our operations in the following areas: consumer_protection, patient_safety, regulatory_transparency. We urge the Agency to consider these factors, particularly how they affect consumer protection, patient safety, regulatory transparency, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Consumers Union (Consumer Reports)
Consumer Reports"
Society of Toxicology,Society of Toxicology,neutral,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Society of Toxicology appreciates the opportunity to provide these formal comments. As an entity engaged in toxicological science and risk assessment standards, new approach methodologies (NAMs) development, chemical safety and regulatory science education, our perspective is deeply informed by our operational environment, which includes scientific objectivity and neutrality requirements, diverse membership across industry, government, and academia, evolving alternative testing methodology validation.

We write today to wish to comment on the proposed regulatory framework. Our primary feedback is as follows: Draft a scientifically objective comment evaluating the toxicological evidence basis for proposed standards, recommending new approach methodologies, and supporting validated testing frameworks.

The proposed changes will directly impact our operations in the following areas: scientific_integrity, innovation_impact, public_health. We urge the Agency to consider these factors, particularly how they affect scientific integrity, innovation impact, public health, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Society of Toxicology
Society of Toxicology"
Herbalife Ltd.,Herbalife Ltd.,opposed,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Herbalife Ltd. appreciates the opportunity to provide these formal comments. As an entity engaged in nutritional supplement and meal replacement manufacturing, direct sales distribution network, sports nutrition and weight management products, our perspective is deeply informed by our operational environment, which includes DSHEA framework compliance, international regulatory harmonization for supplements, direct sales regulatory scrutiny.

We write today to oppose the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing pre-market approval for supplements, defending existing DSHEA notification framework, and requesting proportional compliance for established ingredient categories.

The proposed changes will directly impact our operations in the following areas: compliance_cost, economic_impact, operational_burden. We urge the Agency to consider these factors, particularly how they affect compliance cost, economic impact, operational burden, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Herbalife Ltd.
Herbalife Ltd."
National Alliance on Mental Illness,National Alliance on Mental Illness (NAMI),supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

National Alliance on Mental Illness (NAMI) appreciates the opportunity to provide these formal comments. As an entity engaged in mental health treatment access advocacy, psychiatric drug safety and access campaigns, stigma reduction and patient education, our perspective is deeply informed by our operational environment, which includes patient privacy and stigma considerations, treatment adherence and side effect management, crisis intervention treatment access gaps.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting novel psychiatric drug approval pathways, opposing REMS that restrict access to mental health medications, and urging patient voice in psychopharmacology decisions.

The proposed changes will directly impact our operations in the following areas: patient_access, patient_safety, public_health. We urge the Agency to consider these factors, particularly how they affect patient access, patient safety, public health, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

National Alliance on Mental Illness
National Alliance on Mental Illness (NAMI)"
Texas Department of State Health Services,Texas Department of State Health Services,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Texas Department of State Health Services appreciates the opportunity to provide these formal comments. As an entity engaged in state food manufacturing and retail inspection, drug and device establishment registration oversight, tobacco retailer compliance enforcement, our perspective is deeply informed by our operational environment, which includes large state with diverse food manufacturing base, border region food import inspection challenges, state legislative restrictions on certain FDA alignment.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting adequate federal resources for state food safety delegation, border food safety cooperation, and flexible implementation timelines.

The proposed changes will directly impact our operations in the following areas: regulatory_alignment, state_authority, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect regulatory alignment, state authority, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Texas Department of State Health Services
Texas Department of State Health Services"
"Dr. Aaron Kesselheim, Pharmaceutical Policy Researcher","Harvard Medical School Program On Regulation, Therapeutics, And Law (PORTAL)",supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Harvard Medical School Program On Regulation, Therapeutics, And Law (PORTAL) appreciates the opportunity to provide these formal comments. As an entity engaged in pharmaceutical regulation and drug pricing research, accelerated approval policy evaluation, generic drug competition analysis, our perspective is deeply informed by our operational environment, which includes academic research funding independence, peer-review and publication standards, pharmaceutical industry data access limitations.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment presenting evidence on accelerated approval outcomes, supporting stronger confirmatory trial requirements, and recommending reforms to reduce drug pricing barriers.

The proposed changes will directly impact our operations in the following areas: patient_access, affordability, scientific_integrity. We urge the Agency to consider these factors, particularly how they affect patient access, affordability, scientific integrity, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Aaron Kesselheim, Pharmaceutical Policy Researcher
Harvard Medical School Program On Regulation, Therapeutics, And Law (PORTAL)"
Organic Trade Association,Organic Trade Association,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Organic Trade Association appreciates the opportunity to provide these formal comments. As an entity engaged in organic food and agriculture industry advocacy, organic standards and certification policy, organic fraud prevention programs, our perspective is deeply informed by our operational environment, which includes USDA-FDA regulatory coordination for organic claims, organic supply chain integrity, small organic producer membership base.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting organic labeling integrity, opposing synthetic ingredient allowances in organic products, and requesting FDA-USDA coordination on organic food standards.

The proposed changes will directly impact our operations in the following areas: consumer_protection, compliance_cost, regulatory_alignment. We urge the Agency to consider these factors, particularly how they affect consumer protection, compliance cost, regulatory alignment, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Organic Trade Association
Organic Trade Association"
"Patricia Adams, Elderly Medicare Patient",,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Patricia Adams, Elderly Medicare Patient appreciates the opportunity to provide these formal comments. As an entity engaged in manages 7 prescription medications for chronic conditions, navigating Medicare Part D formulary changes, falls prevention and medication interaction concerns, our perspective is deeply informed by our operational environment, which includes fixed income and medication cost burden, polypharmacy interaction risks, difficulty reading small-print drug labels.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a personal comment supporting larger font drug labeling, generic drug availability, and simplified medication guides for elderly patients.

The proposed changes will directly impact our operations in the following areas: patient_safety, affordability, quality_of_life. We urge the Agency to consider these factors, particularly how they affect patient safety, affordability, quality of life, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Patricia Adams, Elderly Medicare Patient
Patricia Adams, Elderly Medicare Patient"
BIO (Biotechnology Innovation Organization),Biotechnology Innovation Organization,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Biotechnology Innovation Organization appreciates the opportunity to provide these formal comments. As an entity engaged in biotechnology industry advocacy across health, agriculture, and industrial sectors, biopharmaceutical regulatory pathway engagement, gene therapy and precision medicine policy, our perspective is deeply informed by our operational environment, which includes diverse membership from startup to multinational biotech, cell and gene therapy manufacturing standards development, clinical trial patient recruitment challenges.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting expedited regulatory pathways for breakthrough therapies, clear gene therapy durability evidence standards, and proportional manufacturing requirements for small biotech.

The proposed changes will directly impact our operations in the following areas: innovation_impact, compliance_cost, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect innovation impact, compliance cost, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

BIO (Biotechnology Innovation Organization)
Biotechnology Innovation Organization"
AbbVie Inc.,AbbVie Inc.,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

AbbVie Inc. appreciates the opportunity to provide these formal comments. As an entity engaged in immunology and oncology biologic development, Humira biosimilar transition management, aesthetics and neuroscience therapeutic portfolio, our perspective is deeply informed by our operational environment, which includes biosimilar competition and patent expiry management, biologic manufacturing consistency requirements, global regulatory submission coordination.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting clear biosimilar naming and labeling guidance, post-market safety monitoring standards, and manufacturing change management flexibility for biologics.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

AbbVie Inc.
AbbVie Inc."
Breast Cancer Action,Breast Cancer Action,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Breast Cancer Action appreciates the opportunity to provide these formal comments. As an entity engaged in patient-centered breast cancer advocacy, pharmaceutical industry accountability campaigns, environmental causes of breast cancer research advocacy, our perspective is deeply informed by our operational environment, which includes patient conflict-of-interest independence (no pharma funding), health equity in breast cancer outcomes, corporate pinkwashing accountability.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting rigorous breast cancer drug approval standards, opposing accelerated approvals without confirmed clinical benefit, and demanding transparency in advisory committee deliberations.

The proposed changes will directly impact our operations in the following areas: patient_safety, regulatory_transparency, public_health. We urge the Agency to consider these factors, particularly how they affect patient safety, regulatory transparency, public health, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Breast Cancer Action
Breast Cancer Action"
American College of Cardiology,American College of Cardiology,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

American College of Cardiology appreciates the opportunity to provide these formal comments. As an entity engaged in cardiovascular practice guideline development, cardiovascular drug and device evaluation, quality improvement and registry programs, our perspective is deeply informed by our operational environment, which includes clinical evidence standards for guideline development, device post-market registry participation, cardiovascular outcome trial design requirements.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting cardiovascular outcome trial requirements, post-market device registries, and real-world evidence integration in cardiovascular drug evaluation.

The proposed changes will directly impact our operations in the following areas: patient_safety, clinical_practice, innovation_impact. We urge the Agency to consider these factors, particularly how they affect patient safety, clinical practice, innovation impact, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

American College of Cardiology
American College of Cardiology"
Spectrum Natural Foods Co-op,Spectrum Natural Foods Co-op,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Spectrum Natural Foods Co-op appreciates the opportunity to provide these formal comments. As an entity engaged in natural and organic food retail cooperative, in-house prepared foods and bakery, local producer sourcing and vendor management, our perspective is deeply informed by our operational environment, which includes member-owned governance structure, small retail food labeling compliance capacity, local sourcing traceability documentation.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting clear food labeling standards, requesting proportional compliance for small retailers, and endorsing transparency in ingredient sourcing.

The proposed changes will directly impact our operations in the following areas: consumer_protection, compliance_cost, small_business_viability. We urge the Agency to consider these factors, particularly how they affect consumer protection, compliance cost, small business viability, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Spectrum Natural Foods Co-op
Spectrum Natural Foods Co-op"
Illumina Inc.,Illumina Inc.,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Illumina Inc. appreciates the opportunity to provide these formal comments. As an entity engaged in genomic sequencing platform manufacturing, clinical diagnostic test development, laboratory-developed test (LDT) compliance, our perspective is deeply informed by our operational environment, which includes LDT regulatory framework uncertainty, rapid genomics technology evolution, clinical validity evidence generation requirements.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting phased LDT regulation implementation, risk-based oversight proportional to test complexity, and recognition of clinical genomics innovation pace.

The proposed changes will directly impact our operations in the following areas: innovation_impact, compliance_cost, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect innovation impact, compliance cost, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Illumina Inc.
Illumina Inc."
March of Dimes,March of Dimes,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

March of Dimes appreciates the opportunity to provide these formal comments. As an entity engaged in maternal and infant health advocacy, birth defect and preterm birth research funding, neonatal drug safety campaigns, our perspective is deeply informed by our operational environment, which includes vulnerable population (pregnant women, neonates) focus, limited drug safety data in pregnancy, congenital anomaly surveillance requirements.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting pregnancy exposure registries, mandatory pediatric and neonatal drug formulation studies, and improved drug labeling for pregnant and lactating women.

The proposed changes will directly impact our operations in the following areas: patient_safety, public_health, scientific_integrity. We urge the Agency to consider these factors, particularly how they affect patient safety, public health, scientific integrity, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

March of Dimes
March of Dimes"
"Michael Torres, Restaurant Owner",,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Michael Torres, Restaurant Owner appreciates the opportunity to provide these formal comments. As an entity engaged in owner of two family restaurants in Phoenix, managing food allergen and calorie disclosure requirements, local health department inspection compliance, our perspective is deeply informed by our operational environment, which includes 35 employees across two locations, menu calorie labeling cost for rotating specials, multiple regulatory jurisdiction requirements.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a personal comment requesting simplified menu labeling for small restaurants, proportional food safety requirements, and reducing multi-agency regulatory burden.

The proposed changes will directly impact our operations in the following areas: compliance_cost, operational_burden, small_business_viability. We urge the Agency to consider these factors, particularly how they affect compliance cost, operational burden, small business viability, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Michael Torres, Restaurant Owner
Michael Torres, Restaurant Owner"
United Natural Products Alliance,United Natural Products Alliance,opposed,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

United Natural Products Alliance appreciates the opportunity to provide these formal comments. As an entity engaged in natural products and dietary supplement industry advocacy, NDI notification process engagement, supplement manufacturing quality standards, our perspective is deeply informed by our operational environment, which includes DSHEA regulatory framework preservation, NDI notification backlog and uncertainty, small manufacturer compliance capacity.

We write today to oppose the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing mandatory pre-market approval for supplements, requesting clearer NDI guidance, and supporting risk-based enforcement targeting adulterated products.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, small_business_viability. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, small business viability, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

United Natural Products Alliance
United Natural Products Alliance"
"Dr. Diana Zuckerman, Medical Device Safety Researcher",National Center for Health Research,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

National Center for Health Research appreciates the opportunity to provide these formal comments. As an entity engaged in medical device and implant safety research, 510(k) pathway adequacy evaluation, patient advocacy in FDA decision-making, our perspective is deeply informed by our operational environment, which includes nonprofit research organization resources, industry-independent evidence standards, FOIA-dependent device safety data access.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment presenting evidence that the 510(k) pathway inadequately protects patients, supporting clinical evidence requirements for high-risk devices, and recommending MAUDE database improvements.

The proposed changes will directly impact our operations in the following areas: patient_safety, scientific_integrity, regulatory_transparency. We urge the Agency to consider these factors, particularly how they affect patient safety, scientific integrity, regulatory transparency, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Diana Zuckerman, Medical Device Safety Researcher
National Center for Health Research"
Edwards Lifesciences Corporation,Edwards Lifesciences Corporation,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Edwards Lifesciences Corporation appreciates the opportunity to provide these formal comments. As an entity engaged in transcatheter heart valve manufacturing, hemodynamic monitoring systems, critical care and surgical structural heart devices, our perspective is deeply informed by our operational environment, which includes breakthrough device designation pathway management, long-term implant durability evidence requirements, international regulatory convergence needs.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting the breakthrough device pathway, requesting long-term follow-up study flexibility, and advocating for MDSAP acceptance to reduce duplicative international audits.

The proposed changes will directly impact our operations in the following areas: innovation_impact, compliance_cost, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect innovation impact, compliance cost, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Edwards Lifesciences Corporation
Edwards Lifesciences Corporation"
Association of American Feed Control Officials,Association of American Feed Control Officials,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Association of American Feed Control Officials appreciates the opportunity to provide these formal comments. As an entity engaged in animal feed ingredient definition and standards, state feed control program coordination, pet food and animal feed labeling guidance, our perspective is deeply informed by our operational environment, which includes FDA-state cooperative program dependencies, novel animal feed ingredient approval backlog, CBD and hemp in animal feed regulatory uncertainty.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting clear federal guidance on novel feed ingredients, CBD in animal feed, and adequate funding for state-federal cooperative feed safety programs.

The proposed changes will directly impact our operations in the following areas: regulatory_alignment, implementation_timeline, public_health. We urge the Agency to consider these factors, particularly how they affect regulatory alignment, implementation timeline, public health, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Association of American Feed Control Officials
Association of American Feed Control Officials"
"Karen Lopez, Parent of Child with Severe Food Allergies",,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Karen Lopez, Parent of Child with Severe Food Allergies appreciates the opportunity to provide these formal comments. As an entity engaged in mother of two children with peanut and tree nut allergies, school food allergen policy advocate, epinephrine auto-injector access campaigner, our perspective is deeply informed by our operational environment, which includes daily allergen avoidance vigilance, precautionary labeling inconsistency confusion, high cost of epinephrine auto-injectors.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a personal comment supporting standardized precautionary allergen labeling, school epinephrine access laws, and generic epinephrine auto-injector approval.

The proposed changes will directly impact our operations in the following areas: patient_safety, consumer_protection, affordability. We urge the Agency to consider these factors, particularly how they affect patient safety, consumer protection, affordability, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Karen Lopez, Parent of Child with Severe Food Allergies
Karen Lopez, Parent of Child with Severe Food Allergies"
Personal Care Products Council,Personal Care Products Council,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Personal Care Products Council appreciates the opportunity to provide these formal comments. As an entity engaged in cosmetics and personal care industry advocacy, ingredient safety review program (CIR), MoCRA implementation coordination, our perspective is deeply informed by our operational environment, which includes MoCRA compliance timeline and facility registration, adverse event reporting system buildout, small manufacturer membership compliance capacity.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting adequate MoCRA implementation timelines, clear facility registration guidance, and proportional requirements for small cosmetics manufacturers.

The proposed changes will directly impact our operations in the following areas: compliance_cost, implementation_timeline, operational_burden. We urge the Agency to consider these factors, particularly how they affect compliance cost, implementation timeline, operational burden, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Personal Care Products Council
Personal Care Products Council"
"Dr. Joshua Sharfstein, Health Policy and Regulation Expert",Johns Hopkins Bloomberg School of Public Health,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Johns Hopkins Bloomberg School of Public Health appreciates the opportunity to provide these formal comments. As an entity engaged in FDA regulatory policy and public health law research, drug safety and opioid policy analysis, former FDA Principal Deputy Commissioner, our perspective is deeply informed by our operational environment, which includes academic-government interface expertise, public health law complexity, FDA institutional knowledge and reform perspectives.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting FDA regulatory modernization, enhanced post-market safety authority, and evidence-based approaches to opioid prescribing and tobacco regulation.

The proposed changes will directly impact our operations in the following areas: public_health, regulatory_transparency, patient_safety. We urge the Agency to consider these factors, particularly how they affect public health, regulatory transparency, patient safety, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Joshua Sharfstein, Health Policy and Regulation Expert
Johns Hopkins Bloomberg School of Public Health"
Washington State Department of Health,Washington State Department of Health,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Washington State Department of Health appreciates the opportunity to provide these formal comments. As an entity engaged in state food safety and shellfish sanitation, drug and device establishment inspection, cannabis product safety regulation, our perspective is deeply informed by our operational environment, which includes cannabis-FDA regulatory gap management, shellfish sanitation and climate change impacts, interstate food safety compact participation.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting federal cannabis regulatory clarity, supporting shellfish safety standards updates for climate impacts, and sharing state implementation best practices.

The proposed changes will directly impact our operations in the following areas: regulatory_alignment, public_health, state_authority. We urge the Agency to consider these factors, particularly how they affect regulatory alignment, public health, state authority, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Washington State Department of Health
Washington State Department of Health"
