Display Name,Organization,Stance,Comment Letter
Greyhound Lines Inc.,Greyhound Lines Inc. (Flix North America),Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Greyhound Lines Inc. (Flix North America)

Greyhound Lines Inc. (Flix North America) operates extensive networks involving intercity scheduled bus service across North America, express and rural route passenger transportation. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including passenger scheduling fixed by published timetable, overnight intercity routes and driver relay scheduling, rural and underserved community service obligations. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, public safety.

Based on these considerations, we strongly recommend the following: Requesting intercity bus-specific scheduling provisions, supporting driver relay station infrastructure, and addressing passenger carrier safety technology requirements.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Greyhound Lines Inc.
Greyhound Lines Inc. (Flix North America)"
National Retail Federation,National Retail Federation,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Retail Federation

The National Retail Federation represents a vital sector of the transportation industry, specifically focused on retail industry supply chain and logistics advocacy, freight transportation policy affecting retail delivery. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including retail supply chain depends on reliable truck capacity, holiday season freight demand surge, consumer expectations for fast delivery. Furthermore, we anticipate that the proposed changes will significantly impact economic impact, operational burden, implementation timeline.

Based on these considerations, we strongly recommend the following: As a shipper requesting regulations that maintain freight capacity, opposing HOS changes during peak retail season, and supporting supply chain efficiency.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Retail Federation
National Retail Federation"
"Federal Motor Carrier Safety Administration Office of Analysis, Research, and Technology","FMCSA Office of Analysis, Research, and Technology",Neutral,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - FMCSA Office of Analysis, Research, and Technology

I am writing as an individual with significant experience in CMV safety data analysis and crash statistics to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including data quality and reporting consistency challenges, OMB regulatory review requirements, research-to-regulation translation timelines. Furthermore, we anticipate that the proposed changes will significantly impact scientific integrity, regulatory alignment, public safety.

Based on these considerations, we strongly recommend the following: Providing technical data analysis supporting proposed regulations, identifying data limitations, and recommending research-based regulatory approaches.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Federal Motor Carrier Safety Administration Office of Analysis, Research, and Technology
FMCSA Office of Analysis, Research, and Technology"
"Dr. Myra Blanco, Automated Driving Systems Researcher",Virginia Tech Transportation Institute,Neutral,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Virginia Tech Transportation Institute

As a researcher at Virginia Tech Transportation Institute specializing in automated commercial vehicle safety evaluation, I am providing this technical assessment to assist the FMCSA in grounding its final rule in robust, peer-reviewed evidence.

Our perspective is informed by several critical operational constraints, including limited real-world ADS deployment data, rapid technology evolution outpacing research, safety case methodology development needs. Furthermore, we anticipate that the proposed changes will significantly impact innovation impact, scientific integrity, public safety.

Based on these considerations, we strongly recommend the following: Draft a technically objective comment on autonomous CMV regulatory frameworks, recommending safety case approaches, and supporting graduated deployment with data sharing requirements.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Dr. Myra Blanco, Automated Driving Systems Researcher
Virginia Tech Transportation Institute"
"Maria Lopez, School Bus Driver",,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - None

I am writing as an individual with significant experience in CDL-B school bus driver for 12 years to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including split shift creates long duty day with unpaid gap, CDL medical card renewal costs and hassle, school bus driver pay doesn't justify CDL requirements. Furthermore, we anticipate that the proposed changes will significantly impact driver retention, economic impact, operational burden.

Based on these considerations, we strongly recommend the following: Requesting school bus driver CDL streamlining, split-shift HOS recognition, and compensation improvements to address bus driver shortage.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Maria Lopez, School Bus Driver
None"
National Grain and Feed Association,National Grain and Feed Association,Opposed,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Grain and Feed Association

The National Grain and Feed Association represents a vital sector of the transportation industry, specifically focused on grain elevator and feed industry transportation advocacy, agricultural commodity trucking during harvest. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including harvest season requires 24/7 grain hauling, agricultural commodity perishability and timing, rural driver pool limitations during harvest. Furthermore, we anticipate that the proposed changes will significantly impact economic impact, operational burden, compliance cost.

Based on these considerations, we strongly recommend the following: Supporting agricultural harvest HOS exemptions, opposing restrictions during planting and harvest seasons, and requesting year-round flexibility for ag haulers.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Grain and Feed Association
National Grain and Feed Association"
TuSimple Holdings Inc.,TuSimple Holdings Inc.,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - TuSimple Holdings Inc.

TuSimple Holdings Inc. operates extensive networks involving autonomous trucking technology development, Level 4 self-driving truck operations on I-10 corridor. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including FMCSA exemption process for driverless operations, federal preemption of state autonomous vehicle laws, insurance and liability framework uncertainty. Furthermore, we anticipate that the proposed changes will significantly impact innovation impact, regulatory alignment, public safety.

Based on these considerations, we strongly recommend the following: Supporting a federal autonomous CMV regulatory framework, requesting clear exemption processes for ADS testing, and proposing safety performance standards for driverless trucks.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

TuSimple Holdings Inc.
TuSimple Holdings Inc."
National Safety Council,National Safety Council,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Safety Council

On behalf of National Safety Council, an organization dedicated to workplace and roadway safety advocacy, defensive driving and fleet safety programs, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including evidence-based safety program standards, employer and fleet safety culture development, diverse stakeholder engagement approach. Furthermore, we anticipate that the proposed changes will significantly impact public safety, crash reduction, driver health.

Based on these considerations, we strongly recommend the following: Supporting comprehensive CMV safety programs, fatigue management system requirements, and driver health and wellness initiatives.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Safety Council
National Safety Council"
Covenant Transport Group,Covenant Logistics Group Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Covenant Logistics Group Inc.

Covenant Logistics Group Inc. operates extensive networks involving truckload, dedicated, and refrigerated freight services, driver training schools and CDL apprenticeship programs. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including driver training academy investment and student driver HOS, refrigerated freight temperature compliance monitoring, team driving operations and sleeper berth scheduling. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, driver retention, operational burden.

Based on these considerations, we strongly recommend the following: Supporting team driving HOS flexibility, CDL apprenticeship program expansion, and recognition of carrier-sponsored driver training investments.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Covenant Transport Group
Covenant Logistics Group Inc."
Amalgamated Transit Union,Amalgamated Transit Union,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Amalgamated Transit Union

The Amalgamated Transit Union represents a vital sector of the transportation industry, specifically focused on transit and motorcoach driver union representation, bus driver safety and working condition advocacy. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including driver assault and violence on transit routes, split shift and extended spread time scheduling, bus driver health and ergonomic concerns. Furthermore, we anticipate that the proposed changes will significantly impact worker safety, driver health, public safety.

Based on these considerations, we strongly recommend the following: Supporting bus driver assault protections, HOS limits on spread time for transit operators, and driver health screening programs.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Amalgamated Transit Union
Amalgamated Transit Union"
Volvo Trucks North America,Volvo Trucks North America,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Volvo Trucks North America

Volvo Trucks North America operates extensive networks involving Class 8 truck manufacturing and assembly, advanced safety system development (collision mitigation). We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including global safety technology standardization needs, ADAS validation and regulatory acceptance, zero-emission vehicle weight penalty concerns. Furthermore, we anticipate that the proposed changes will significantly impact innovation impact, compliance cost, implementation timeline.

Based on these considerations, we strongly recommend the following: Supporting performance-based safety technology standards, requesting weight allowances for safety and zero-emission equipment, and harmonization with European standards.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Volvo Trucks North America
Volvo Trucks North America"
American Pyrotechnics Association,American Pyrotechnics Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - American Pyrotechnics Association

The American Pyrotechnics Association represents a vital sector of the transportation industry, specifically focused on fireworks and pyrotechnics industry advocacy, hazmat transportation of explosives coordination. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including seasonal demand concentration (May-July), Division 1.3 and 1.4 explosives transportation regulations, driver hazmat endorsement and TWIC requirements. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, implementation timeline.

Based on these considerations, we strongly recommend the following: Requesting seasonal hazmat transportation flexibility for fireworks, HOS accommodations during peak season, and streamlined hazmat endorsement renewal.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

American Pyrotechnics Association
American Pyrotechnics Association"
Pennsylvania Motor Truck Association,Pennsylvania Motor Truck Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Pennsylvania Motor Truck Association

The Pennsylvania Motor Truck Association represents a vital sector of the transportation industry, specifically focused on state trucking industry advocacy in Pennsylvania, Turnpike toll and infrastructure policy. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including Pennsylvania Turnpike toll increases impacting carriers, winter weather operational challenges, state vs. federal CDL and HOS harmonization. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, economic impact, regulatory alignment.

Based on these considerations, we strongly recommend the following: Requesting federal preemption of inconsistent state regulations, winter weather HOS flexibility, and toll infrastructure burden reduction for trucking.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Pennsylvania Motor Truck Association
Pennsylvania Motor Truck Association"
Amazon Freight,Amazon.com Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Amazon.com Inc.

Amazon.com Inc. operates extensive networks involving private fleet and contracted carrier freight operations, last-mile delivery vehicle operations. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including high-volume delivery expectations and scheduling pressure, delivery service partner driver classification questions, CMV weight thresholds for larger delivery vehicles. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, implementation timeline.

Based on these considerations, we strongly recommend the following: Requesting clarity on delivery service partner compliance obligations, supporting technology-based driver monitoring, and requesting last-mile vehicle classification guidance.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Amazon Freight
Amazon.com Inc."
National Lime Association,National Lime Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Lime Association

The National Lime Association represents a vital sector of the transportation industry, specifically focused on lime and calcium products transportation advocacy, bulk dry commodity trucking coordination. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including weight-sensitive bulk commodity hauling, loading time at quarry and processing facilities, rural origin and delivery locations. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, economic impact.

Based on these considerations, we strongly recommend the following: Requesting weight tolerance provisions for bulk commodity trucks, rural operation HOS flexibility, and recognition of loading detention time impacts.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Lime Association
National Lime Association"
National Highway Traffic Safety Administration,National Highway Traffic Safety Administration,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Highway Traffic Safety Administration

I am writing as an individual with significant experience in motor vehicle safety standards development to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including FMVSS vs. FMCSR regulatory boundary coordination, vehicle-level vs. driver-level regulation jurisdiction, ADS safety assessment framework development. Furthermore, we anticipate that the proposed changes will significantly impact public safety, regulatory alignment, innovation impact.

Based on these considerations, we strongly recommend the following: Supporting NHTSA-FMCSA coordination on CMV safety technology standards, vehicle-level crash avoidance requirements, and automated driving system safety frameworks.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Highway Traffic Safety Administration
National Highway Traffic Safety Administration"
American College of Occupational and Environmental Medicine,American College of Occupational and Environmental Medicine,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - American College of Occupational and Environmental Medicine

I am writing as an individual with significant experience in occupational medicine practice standards for CMV drivers to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including medical examiner consistency and quality concerns, driver health privacy and HIPAA considerations, sleep apnea screening and treatment compliance. Furthermore, we anticipate that the proposed changes will significantly impact driver health, public safety, clinical practice.

Based on these considerations, we strongly recommend the following: Supporting evidence-based medical qualification standards, sleep apnea screening requirements, and certified medical examiner training improvements.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

American College of Occupational and Environmental Medicine
American College of Occupational and Environmental Medicine"
"Dr. Stephen Pegula, Occupational Fatality Researcher",Bureau of Labor Statistics (Retired) / George Mason University,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Bureau of Labor Statistics (Retired) / George Mason University

As a researcher at Bureau of Labor Statistics (Retired) / George Mason University specializing in occupational fatality and injury data analysis, I am providing this technical assessment to assist the FMCSA in grounding its final rule in robust, peer-reviewed evidence.

Our perspective is informed by several critical operational constraints, including BLS data collection methodology limitations, occupational vs. traffic crash data system reconciliation, privacy constraints on individual case data. Furthermore, we anticipate that the proposed changes will significantly impact scientific integrity, worker safety, public safety.

Based on these considerations, we strongly recommend the following: Draft a technical comment presenting occupational fatality data for truck drivers, supporting data-driven safety regulations, and recommending improved crash-injury data linkage.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Dr. Stephen Pegula, Occupational Fatality Researcher
Bureau of Labor Statistics (Retired) / George Mason University"
"James Mitchell, Hazmat Tanker Driver",,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - None

I am writing as an individual with significant experience in CDL-A driver with tanker, hazmat, and doubles/triples endorsements to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including hazmat adds 2+ hours daily for inspections and paperwork, detention at chemical plants not counted as rest, higher licensing costs and TSA background check requirements. Furthermore, we anticipate that the proposed changes will significantly impact driver autonomy, economic impact, operational burden.

Based on these considerations, we strongly recommend the following: Requesting hazmat driver compensation for compliance time, detention time reform, and streamlined hazmat endorsement renewal processes.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

James Mitchell, Hazmat Tanker Driver
None"
National Ready Mixed Concrete Association,National Ready Mixed Concrete Association,Opposed,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Ready Mixed Concrete Association

The National Ready Mixed Concrete Association represents a vital sector of the transportation industry, specifically focused on ready-mix concrete delivery industry advocacy, mixer truck operations within short radius of batch plant. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including concrete has 90-minute usability window requiring urgency, short-haul operations typically within 30-mile radius, construction site delays outside driver control. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, economic impact.

Based on these considerations, we strongly recommend the following: Supporting concrete mixer truck HOS exemptions, requesting short-haul exception expansion for construction materials, and citing perishable product delivery urgency.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Ready Mixed Concrete Association
National Ready Mixed Concrete Association"
Knight-Swift Transportation Holdings,Knight-Swift Transportation Holdings Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Knight-Swift Transportation Holdings Inc.

Knight-Swift Transportation Holdings Inc. operates extensive networks involving largest full truckload carrier in North America, fleet of 23,000+ tractors across multiple brands. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including scale amplifies per-truck regulatory compliance costs, multi-brand operational standardization challenges, driver retention competition across brands. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, driver retention, operational burden.

Based on these considerations, we strongly recommend the following: Requesting safety-performance-based regulatory flexibility for large carriers, supporting driver apprenticeship program expansion, and technology adoption incentives.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Knight-Swift Transportation Holdings
Knight-Swift Transportation Holdings Inc."
National Association of Reversing Alarm Manufacturers,National Association of Reversing Alarm Manufacturers,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Association of Reversing Alarm Manufacturers

The National Association of Reversing Alarm Manufacturers represents a vital sector of the transportation industry, specifically focused on backup alarm and collision avoidance system advocacy, CMV visibility and pedestrian safety technology. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including noise pollution complaints about backup alarms, technology standardization across vehicle types, cost-benefit demonstration for safety equipment mandates. Furthermore, we anticipate that the proposed changes will significantly impact public safety, innovation impact, regulatory alignment.

Based on these considerations, we strongly recommend the following: Supporting enhanced CMV visibility requirements, camera and sensor mandates for blind spot elimination, and updated backup alarm standards.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Association of Reversing Alarm Manufacturers
National Association of Reversing Alarm Manufacturers"
AAA Foundation for Traffic Safety,AAA Foundation for Traffic Safety,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - AAA Foundation for Traffic Safety

On behalf of AAA Foundation for Traffic Safety, an organization dedicated to traffic safety research and public education, drowsy and distracted driving studies, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including research funding and methodology standards, public education reach and effectiveness, multi-modal safety perspective. Furthermore, we anticipate that the proposed changes will significantly impact public safety, scientific integrity, crash reduction.

Based on these considerations, we strongly recommend the following: Presenting drowsy driving research data, supporting fatigue countermeasure requirements, and recommending public education campaigns on sharing roads with trucks.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

AAA Foundation for Traffic Safety
AAA Foundation for Traffic Safety"
Walmart Private Fleet,Walmart Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Walmart Inc.

Walmart Inc. operates extensive networks involving largest private truck fleet in America (10,000+ drivers), distribution center to store delivery operations. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including high safety performance already exceeds industry average, sustainability goals require electric truck adoption, delivery scheduling optimization around HOS constraints. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, innovation impact.

Based on these considerations, we strongly recommend the following: Requesting performance-based regulatory flexibility for demonstrably safe private fleets, electric truck weight exemptions, and recognition of industry-leading safety investments.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Walmart Private Fleet
Walmart Inc."
International Brotherhood of Teamsters Highway Division,International Brotherhood of Teamsters,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - International Brotherhood of Teamsters

The International Brotherhood of Teamsters represents a vital sector of the transportation industry, specifically focused on over-the-road and local truck driver representation, driver health benefits and pension advocacy. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including driver coercion by carriers to violate HOS, driver health insurance and retirement security, independent contractor misclassification concerns. Furthermore, we anticipate that the proposed changes will significantly impact worker safety, driver health, driver autonomy.

Based on these considerations, we strongly recommend the following: Supporting anti-coercion enforcement, opposing HOS rollbacks that endanger drivers, and requesting whistleblower protections for safety complaints.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

International Brotherhood of Teamsters Highway Division
International Brotherhood of Teamsters"
Truck Renting and Leasing Association,Truck Renting and Leasing Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Truck Renting and Leasing Association

The Truck Renting and Leasing Association represents a vital sector of the transportation industry, specifically focused on commercial truck rental and leasing industry advocacy, vehicle maintenance and inspection standards for leased equipment. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including vehicle maintenance responsibility allocation between lessor and lessee, ELD and safety technology installation for leased vehicles, short-term rental vehicle compliance requirements. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, regulatory alignment, operational burden.

Based on these considerations, we strongly recommend the following: Requesting clarity on lessor vs. lessee safety compliance obligations, supporting technology transfer requirements for leased vehicles, and rental term flexibility.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Truck Renting and Leasing Association
Truck Renting and Leasing Association"
Illinois Secretary of State CDL Division,Illinois Secretary of State,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Illinois Secretary of State

I am writing as an individual with significant experience in CDL issuance and testing administration for Illinois to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including CDL fraud prevention and testing integrity, ELDT training provider registry coordination, medical examiner certificate integration delays. Furthermore, we anticipate that the proposed changes will significantly impact regulatory alignment, public safety, implementation timeline.

Based on these considerations, we strongly recommend the following: Supporting CDL testing integrity improvements, ELDT provider oversight strengthening, and federal support for state CDLIS system modernization.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Illinois Secretary of State CDL Division
Illinois Secretary of State"
"Rick Carter, Agricultural Trucker",,Opposed,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - None

I am writing as an individual with significant experience in seasonal grain and livestock hauling in Nebraska to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including harvest window of 2-3 weeks requires extended hours, rural roads with no truck stops or rest areas, CDL requirements for farm trucks over 26,001 lbs. Furthermore, we anticipate that the proposed changes will significantly impact economic impact, operational burden, driver autonomy.

Based on these considerations, we strongly recommend the following: Opposing HOS restrictions during harvest, requesting expanded agricultural exemptions, and describing rural infrastructure limitations for compliance.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Rick Carter, Agricultural Trucker
None"
